     ;10;20;30;40;50;60;70;80;90;100;110;120;130;140;150;160;170;180;190;200;210;220
235;26.34;27.14;27.95;28.75;29.56;30.48;31.22;31.97;32.69;33.4;33.95;34.51;35.01;35.51;36.01;36.01;36.01;36.01;36.01;36.01;36.01;36.01
240;25.54;26.35;27.15;27.96;28.76;29.58;30.33;31.07;31.79;32.51;33.11;33.71;34.18;34.65;35.12;35.12;35.12;35.12;35.12;35.12;35.12;35.12
245;24.85;25.6;26.36;27.11;27.87;28.78;29.53;30.28;30.99;31.71;32.26;32.81;33.31;33.82;34.32;34.32;34.32;34.32;34.32;34.32;34.32;34.32
250;24.05;24.81;25.56;26.32;27.07;27.99;28.68;29.38;30.1;30.81;31.41;32.01;32.48;32.95;33.42;33.42;33.42;33.42;33.42;33.42;33.42;33.42
255;23.36;24.11;24.87;25.62;26.37;27.19;27.89;28.58;29.3;30.01;30.56;31.11;31.58;32.05;32.52;32.52;32.52;32.52;32.52;32.52;32.52;32.52
260;22.76;23.47;24.17;24.87;25.58;26.49;27.19;27.89;28.55;29.21;29.77;30.32;30.79;31.26;31.72;31.72;31.72;31.72;31.72;31.72;31.72;31.72
265;22.07;22.77;23.47;24.18;24.88;25.7;26.39;27.09;27.75;28.42;28.97;29.52;29.99;30.46;30.93;30.93;30.93;30.93;30.93;30.93;30.93;30.93
270;21.37;22.07;22.78;23.48;24.18;25;25.65;26.29;26.91;27.52;28.12;28.72;29.19;29.66;30.13;30.13;30.13;30.13;30.13;30.13;30.13;30.13
275;20.67;21.38;22.08;22.78;23.49;24.3;24.95;25.6;26.21;26.82;27.42;28.02;28.46;28.89;29.33;29.33;29.33;29.33;29.33;29.33;29.33;29.33
280;20.18;20.83;21.48;22.14;22.79;23.6;24.25;24.9;25.51;26.12;26.67;27.23;27.66;28.1;28.53;28.53;28.53;28.53;28.53;28.53;28.53;28.53
285;19.58;20.23;20.89;21.54;22.19;22.91;23.6;24.3;24.91;25.53;26.08;26.63;27.06;27.5;27.93;27.93;27.93;27.93;27.93;27.93;27.93;27.93
290;18.98;19.64;20.29;20.94;21.6;22.31;22.96;23.6;24.22;24.83;25.38;25.93;26.36;26.8;27.24;27.24;27.24;27.24;27.24;27.24;27.24;27.24
295;19.08;19.69;20.29;20.89;21.5;22.21;22.86;23.5;24.07;24.63;25.18;25.73;26.13;26.53;26.94;26.94;26.94;26.94;26.94;26.94;26.94;26.94
300;18.89;19.54;20.19;20.84;21.5;22.01;22.66;23.3;23.92;24.53;24.98;25.43;25.83;26.23;26.64;26.64;26.64;26.64;26.64;26.64;26.64;26.64
305;18.33;18.97;19.6;20.24;20.88;21.39;22.03;22.66;23.27;23.88;24.33;24.77;25.17;25.57;25.97;25.97;25.97;25.97;25.97;25.97;25.97;25.97
310;17.79;18.41;19.03;19.66;20.28;20.79;21.42;22.04;22.65;23.26;23.69;24.13;24.52;24.92;25.31;25.31;25.31;25.31;25.31;25.31;25.31;25.31
315;17.27;17.87;18.48;19.09;19.69;20.21;20.82;21.43;22.04;22.65;23.07;23.5;23.89;24.28;24.67;24.67;24.67;24.67;24.67;24.67;24.67;24.67
320;16.76;17.35;17.94;18.53;19.13;19.65;20.24;20.84;21.45;22.05;22.47;22.89;23.28;23.66;24.05;24.05;24.05;24.05;24.05;24.05;24.05;24.05
325;16.27;16.84;17.42;18;18.58;19.1;19.68;20.27;20.87;21.47;21.88;22.3;22.68;23.06;23.45;23.45;23.45;23.45;23.45;23.45;23.45;23.45
330;15.79;16.35;16.91;17.48;18.04;18.56;19.13;19.71;20.31;20.91;21.31;21.72;22.1;22.48;22.86;22.86;22.86;22.86;22.86;22.86;22.86;22.86
335;15.32;15.87;16.42;16.97;17.52;18.04;18.6;19.16;19.76;20.36;20.76;21.15;21.53;21.9;22.28;22.28;22.28;22.28;22.28;22.28;22.28;22.28
340;14.87;15.41;15.94;16.48;17.02;17.53;18.09;18.64;19.23;19.82;20.21;20.6;20.98;21.35;21.72;21.72;21.72;21.72;21.72;21.72;21.72;21.72
345;14.43;14.96;15.48;16;16.53;17.04;17.58;18.12;18.71;19.3;19.69;20.07;20.44;20.8;21.17;21.17;21.17;21.17;21.17;21.17;21.17;21.17
350;14.01;14.52;15.03;15.54;16.05;16.57;17.09;17.62;18.21;18.8;19.17;19.55;19.91;20.27;20.64;20.64;20.64;20.64;20.64;20.64;20.64;20.64
355;13.6;14.09;14.59;15.09;15.59;16.1;16.62;17.14;17.72;18.3;18.67;19.04;19.4;19.76;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12
360;13.2;13.68;14.17;14.65;15.14;15.65;16.16;16.67;17.24;17.82;18.18;18.55;18.9;19.26;19.61;19.61;19.61;19.61;19.61;19.61;19.61;19.61
365;12.81;13.28;13.76;14.23;14.7;15.21;15.71;16.21;16.78;17.35;17.71;18.06;18.42;18.77;19.12;19.12;19.12;19.12;19.12;19.12;19.12;19.12
370;12.43;12.89;13.36;13.82;14.28;14.79;15.27;15.76;16.33;16.9;17.25;17.6;17.94;18.29;18.63;18.63;18.63;18.63;18.63;18.63;18.63;18.63
375;12.06;12.52;12.97;13.42;13.87;14.37;14.85;15.33;15.89;16.45;16.8;17.14;17.48;17.82;18.17;18.17;18.17;18.17;18.17;18.17;18.17;18.17
380;11.71;12.15;12.59;13.03;13.47;13.97;14.44;14.9;15.46;16.02;16.36;16.69;17.03;17.37;17.71;17.71;17.71;17.71;17.71;17.71;17.71;17.71
385;11.37;11.79;12.22;12.65;13.08;13.58;14.04;14.49;15.05;15.6;15.93;16.26;16.59;16.93;17.26;17.26;17.26;17.26;17.26;17.26;17.26;17.26
390;11.03;11.45;11.87;12.29;12.71;13.2;13.65;14.09;14.64;15.19;15.51;15.84;16.17;16.5;16.83;16.83;16.83;16.83;16.83;16.83;16.83;16.83
395;10.71;11.11;11.52;11.93;12.34;12.83;13.27;13.71;14.25;14.79;15.11;15.43;15.75;16.08;16.4;16.4;16.4;16.4;16.4;16.4;16.4;16.4
400;10.39;10.79;11.19;11.59;11.99;12.47;12.9;13.33;13.86;14.4;14.71;15.03;15.35;15.67;15.99;15.99;15.99;15.99;15.99;15.99;15.99;15.99
